"N_deposition" "Species_counts"
"10" 8.56 20
"11" 7.7 17
"12" 8.28 25
"13" 8.14 18
"14" 10.99 20
"15" 14.21 10
"16" 18.74 13
"17" 17.46 14
"18" 14.45 15
"19" 13.39 15
"20" 16.12 20
"21" 20.39 13
"22" 19.47 17
"23" 19.41 15
"24" 19.41 15
"25" 21.2 15
"26" 14.42 13
"27" 15.85 13
"28" 16.37 14
"29" 18.06 15
"30" 20.31 10
"31" 21.79 14
"32" 25.32 10
"33" 23.78 7
"34" 21.2 16
"35" 23.86 11
"36" 15.22 8
"37" 22.82 11
"38" 29.08 14
"39" 22.63 9
"40" 27.44 9
"41" 20.8 11
"42" 20.19 11
"43" 24.78 9
"44" 27.44 14
"45" 25.24 11
"46" 24.27 12
"47" 18.92 20
"48" 25.04 9
"49" 30.33 8
"50" 33.2 10
"51" 30.33 9
"52" 32.65 9
"53" 32.06 12
"54" 30.33 9
"55" 30.33 11
"56" 30.33 8
"57" 32.65 8
"58" 32.06 12
"59" 30.33 6
"60" 32.06 12
"61" 30.33 10
"62" 40.86 14
"63" 30.05 8
"64" 26.11 13
"65" 16.67 13
"66" 7.81 19
"67" 7.81 15
"68" 7.77 15
"69" 9.75 24
"70" 10.03 26
"71" 9.82 18
"72" 13.96 19
"73" 9.79 25
"74" 9.08 26
"75" 12.13 22
"76" 13.8 13
"77" 13.03 15
"78" 20.2 27
"79" 20.39 10
"80" 18.63 10
"81" 23.22 14
"82" 19.53 14
"83" 32.8 12
