id2,id,gene,time,conc,exp,exp.se
TIFY_AvB,1,tify9,1,conc_a,1,0.076619136
TIFY_AvB,2,tify9,1,conc_b,4.317334292,1.215892922
TIFY_AvB,3,tify9,3,conc_a,1.949576134,0.828250683
TIFY_AvB,4,tify9,3,conc_b,4.802707012,2.439480047
TIFY_AvB,5,tify9,12,conc_a,1.756992509,0.556980695
TIFY_AvB,6,tify9,12,conc_b,3.270200916,1.067884651
TIFY_AvC,7,tify9,1,conc_a,1,0.3
TIFY_AvC,8,tify9,1,conc_c,7.3,2.1
TIFY_AvC,9,tify9,3,conc_a,2.2,0.9
TIFY_AvC,10,tify9,3,conc_c,4.9,2.1
TIFY_AvC,11,tify9,12,conc_a,4.2,0.8
TIFY_AvC,12,tify9,12,conc_c,11.2,4.2
TIFY_AvD,13,tify9,1,conc_a,1,0.186636681
TIFY_AvD,14,tify9,1,conc_d,7.0930077,0.957408262
TIFY_AvD,15,tify9,3,conc_a,1.417179801,1.182868567
TIFY_AvD,16,tify9,3,conc_d,4.775356051,1.478975187
TIFY_AvD,17,tify9,12,conc_a,2.084024325,0.802333964
TIFY_AvD,18,tify9,12,conc_d,3.794263131,1.080994504
HD1_AvB,19,HD1,1,conc_a,1,0.09
HD1_AvB,20,HD1,1,conc_b,2.12,1.8
HD1_AvB,21,HD1,3,conc_a,0.776556248,0.038210444
HD1_AvB,22,HD1,3,conc_b,0.786186623,0.050432789
HD1_AvB,23,HD1,12,conc_a,1.140045978,0.073522695
HD1_AvB,24,HD1,12,conc_b,1.805145284,0.475728385
HD1_AvC,25,HD1,1,conc_a,1,0.104417645
HD1_AvC,26,HD1,1,conc_c,1.319141022,1.025234912
HD1_AvC,27,HD1,3,conc_a,0.825151463,0.018797814
HD1_AvC,28,HD1,3,conc_c,0.866710056,0.012539829
HD1_AvC,29,HD1,12,conc_a,1.160118351,0.069482582
HD1_AvC,30,HD1,12,conc_c,1.116108916,0.085808504
HD1_AvD,31,HD1,1,conc_a,1,0.328971964
HD1_AvD,32,HD1,1,conc_d,0.323275936,0.255562792
HD1_AvD,33,HD1,3,conc_a,1.493462837,0.213462665
HD1_AvD,34,HD1,3,conc_d,1.115848372,0.288857137
HD1_AvD,35,HD1,12,conc_a,0.051261331,0.136027468
HD1_AvD,36,HD1,12,conc_d,0.648065828,0.386228247
