,,,,,,,wt,sd,se,,,,,,,oehdg5-8,sd,se,sec
cycle 1,32,9,34,27,8,9,19.83333333,12.44856083,5.082103676,6,13,23,53,289,184,94.66666667,115.8873016,47.31079276,0
cycle 2,80,3,81,60,4,13,40.16666667,37.61604268,15.35668512,8,8,34,32,264,292,106.3333333,133.736557,54.59772075,107
cycle 3,43,5,77,73,4,15,36.16666667,33.24103889,13.5705973,2,5,32,54,367,313,128.8333333,165.552912,67.5866933,214
cycle 4,15,2,71,57,1,11,26.16666667,30.10924553,12.29204802,30,4,15,46,396,444,155.8333333,205.671988,83.96523752,321
cycle 5,16,4,51,50,3,4,21.33333333,23.09689734,9.429268853,115,45,15,127,555,594,241.8333333,261.3674935,106.7028324,428
cycle 6,38,0,38,39,8,20,23.83333333,17.11626906,6.987687584,257,96,58,197,799,943,391.6666667,380.7023334,155.4210768,535
cycle 7,39,1,33,48,2,46,28.16666667,21.32994765,8.707914663,464,118,123,329,1066,1470,595,552.3940622,225.5139316,642
cycle 8,70,5,39,50,9,93,44.33333333,34.30257522,14.00396769,747,178,127,490,1411,2591,924,941.006695,384.1643745,749
cycle 9,112,6,63,88,14,138,70.16666667,52.90148076,21.59693908,1085,241,143,592,1694,3516,1211.833333,1267.033609,517.2643049,856
cycle 10,149,9,83,115,11,191,93,73.62608233,30.05772225,1330,266,211,820,1802,4116,1424.166667,1454.354347,593.7376759,963
cycle 11,187,19,86,124,7,240,110.5,92.18405502,37.63398287,1569,335,206,952,2001,4483,1591,1577.106845,643.8511733,1070
cycle 12,1308,7,121,103,34,278,308.5,498.7122417,203.5984201,1861,284,222,1141,3434,4326,1878,1687.629699,688.9719394,1177
cycle 13,774,12,180,79,101,304,241.6666667,279.3067609,114.0265076,1921,293,240,1195,3054,4645,1891.333333,1714.748106,700.0429828,1284
cycle 14,574,17,172,82,242,320,234.5,198.5424388,81.05461122,1967,267,216,1118,2943,4571,1847,1692.559836,690.9846597,1391
cycle 15,678,12,149,89,225,295,241.3333333,235.8598454,96.28937867,1932,264,233,1155,2663,4570,1802.833333,1653.230464,674.9285106,1498
cycle 16,709,11,152,99,20,307,216.3333333,264.4070095,107.9437096,1726,233,252,1036,2511,4621,1729.833333,1665.832335,680.0732028,1605
cycle 17,778,7,137,70,15,319,221,295.9533747,120.8224593,1709,177,211,979,2356,4513,1657.5,1636.400898,668.0578692,1712
cycle 18,788,3,134,83,15,241,210.6666667,295.9125997,120.805813,1567,183,237,897,2160,4202,1541,1511.560386,617.0919434,1819
cycle 19,826,8,114,65,18,246,212.8333333,312.6060887,127.6209013,1381,153,227,776,1814,3721,1345.333333,1331.253645,543.4820246,1926
cycle 20,771,8,111,67,9,213,196.5,291.5789773,119.036619,1233,120,205,639,1423,2911,1088.5,1036.811603,423.2765644,2033
cycle 21,653,5,78,71,6,180,165.5,247.2462335,100.9378522,1131,112,174,534,899,2030,813.3333333,716.5432762,292.5275676,2140
cycle 22,617,12,71,51,7,124,147,234.1990606,95.61136613,1008,93,156,403,594,1307,593.5,481.4747138,196.5612288,2247
